FF18  N018.21.36.730 E099.29.55.291
FF183 N007.01.51.949 E100.23.34.789
FF19  N017.31.01.678 E101.44.47.810
FF199 N009.39.11.451 E100.05.54.571
FF20  N018.58.22.720 E100.50.54.488
FF205 N016.47.22.250 E098.35.09.848
FF21  N016.33.19.371 E102.50.37.780
FF22  N015.19.07.280 E103.19.20.920
FF23  N015.18.55.418 E104.57.05.540
FF23  N017.15.24.008 E104.10.57.831
FF24  N010.46.02.398 E099.26.59.251
FF24  N014.59.46.161 E102.11.56.500
FF26  N006.47.12.231 E101.14.46.600
FF26  N006.56.46.118 E100.30.15.670
FF27  N016.42.30.578 E098.41.53.008
FF32  N008.00.28.051 E099.03.41.018
FF330 N016.50.29.950 E099.17.14.510
FF35  N009.26.44.030 E100.07.14.761
FF36  N016.00.42.789 E103.46.12.410
FF36  N016.34.32.509 E101.11.28.679
FF36  N018.37.25.348 E098.57.45.068
FI08  N007.29.40.340 E099.31.39.500
FI19  N008.37.50.541 E099.57.15.660
FI21L N013.59.38.468 E100.39.12.128
FI21R N013.59.48.530 E100.39.06.958
FI22  N009.13.10.138 E099.13.14.008
FI23  N015.18.59.230 E104.57.16.610
FI24  N010.46.19.390 E099.28.05.980
FI27  N008.07.17.061 E098.25.22.198
FI30  N017.19.59.070 E102.53.49.628
FI32  N016.41.27.081 E100.20.55.708
FI36  N016.35.16.169 E101.11.42.428
FI36  N017.08.26.480 E099.48.59.720
FINNY N015.07.36.789 E102.25.19.660
FINZA N012.24.20.908 E102.29.08.278
FL36  N018.10.59.311 E099.30.41.468
FLUTE N013.29.09.589 E100.26.43.101
FN02  N018.40.04.980 E100.42.55.551
FN03Y N016.23.34.659 E102.43.19.671
FN03Z N016.24.05.331 E102.43.47.798
FN12  N017.25.47.780 E102.42.56.451
FN14  N016.52.00.361 E100.11.58.401
FN21  N016.33.35.488 E102.50.06.579
FN27  N008.09.21.718 E098.26.54.398
FN30  N017.21.24.368 E102.52.09.501
FN32  N016.40.27.580 E100.21.05.540
FN36  N012.33.09.529 E101.00.54.601
FN36  N016.31.10.171 E101.12.45.550
FN36  N017.09.42.699 E099.48.30.779
FORTE N014.26.19.820 E100.43.30.680
FOSSA N017.02.51.478 E103.49.50.919
FQ03  N019.50.39.659 E099.49.34.381
FR08  N006.55.13.911 E100.17.50.510
FR26  N006.56.48.238 E100.30.21.510
FS01  N008.27.56.278 E099.56.13.671
FS02  N006.25.04.828 E101.42.10.411
FS02  N009.41.08.969 E098.32.42.759
FS03  N019.51.15.879 E099.49.30.129
FS04  N009.02.28.780 E099.02.49.549
FS09  N008.05.45.351 E098.12.26.380
FS09Y N008.05.10.298 E098.12.17.071
FS12  N017.27.57.369 E102.40.15.481
FS14  N016.52.19.228 E100.12.22.550
FS15  N017.27.02.818 E104.35.33.860
FS16  N012.44.32.211 E099.54.50.378
FS17  N009.40.13.220 E100.02.59.089
FS19  N008.37.50.739 E099.57.13.730
FS20  N006.37.36.159 E101.47.21.141
FS21  N020.02.10.579 E099.56.03.728
FS22  N009.13.08.410 E099.13.15.841
FS23  N017.15.24.008 E104.10.57.831
FS27  N008.07.16.049 E098.25.25.618
FS27Y N008.07.16.849 E098.25.25.579
FS30  N017.20.41.420 E102.54.06.541
FS32  N008.00.26.859 E099.03.39.549
FS32  N016.41.15.518 E100.20.38.371
FS33  N017.18.48.329 E104.41.38.659
FS35  N009.27.28.540 E100.04.26.061
FS36  N018.10.59.969 E099.30.47.001
FS36  N018.37.26.068 E098.57.42.069
FUNKY N013.13.42.700 E100.39.14.720
FURNO N016.55.43.910 E104.05.16.108
GAPER N009.37.59.530 E098.22.26.389
GARBO N014.46.57.331 E102.00.11.509
GAROL N008.21.20.779 E100.08.58.581
GAYOU N010.04.31.000 E098.49.54.789
GEESE N016.34.39.788 E102.59.03.361
GENOA N007.52.47.769 E098.32.34.828
GETAR N013.38.13.621 E100.24.59.929
GIFBY N008.32.24.269 E100.27.14.360
GINGA N012.23.05.391 E099.58.46.549
GITAR N016.29.09.160 E100.17.32.960
GODUM N009.47.52.890 E098.29.20.248
GOFFY N019.44.05.600 E100.03.11.638
GOGOP N018.08.12.789 E098.51.49.679
GOGUN N016.50.16.130 E101.11.42.900
GOKEX N011.18.14.720 E100.25.43.590
GOLUD N006.17.06.000 E102.16.39.000
GOMES N013.24.06.098 E101.35.05.701
GOODA N015.17.06.079 E100.17.29.399
GORDU N019.04.02.038 E100.39.38.678
GORSI N013.30.54.640 E101.21.28.051
GOSRU N017.01.57.140 E099.56.09.391
GOWHA N009.30.15.051 E098.27.51.390
GRACE N014.08.23.820 E100.44.31.189
GRASO N015.09.16.920 E103.47.14.071
GUDNU N017.35.37.798 E101.56.06.269
GUNYA N012.42.11.041 E100.06.28.220
GUROK N016.03.29.390 E104.11.05.841
GUTSO N012.48.19.940 E100.34.54.299
GUZZO N007.18.19.688 E099.37.33.801
HAMOO N012.31.37.711 E100.51.16.768
HARDY N016.12.30.988 E102.40.23.379
HAVAS N008.44.03.109 E100.05.01.600
HHQ01 N012.47.29.169 E099.53.49.318
HHQ02 N012.46.03.539 E099.54.18.871
HHQNF N012.47.09.488 E099.53.39.998
HILUX N009.22.29.798 E100.05.06.788
