VYYY_CTR   N022.08.59.999 E092.37.00.007 N021.58.33.098 E092.36.31.690
           N014.18.52.701 E098.36.37.595 N014.05.50.200 E098.57.48.988
           N014.05.50.200 E098.57.48.988 N013.56.47.001 E099.01.43.601
           N013.56.47.001 E099.01.43.601 N013.53.26.899 E099.06.57.508
           N013.53.26.899 E099.06.57.508 N013.42.25.999 E099.10.43.195
           N013.42.25.999 E099.10.43.195 N013.15.24.802 E099.13.01.100
           N013.15.24.802 E099.13.01.100 N013.11.49.501 E099.12.35.008
           N013.11.49.501 E099.12.35.008 N013.11.28.300 E099.08.06.996
           N013.11.28.300 E099.08.06.996 N013.04.03.299 E099.06.36.002
           N013.04.03.299 E099.06.36.002 N012.59.05.199 E099.11.52.299
           N012.59.05.199 E099.11.52.299 N012.43.32.501 E099.14.54.507
           N012.43.32.501 E099.14.54.507 N012.34.53.901 E099.26.38.099
           N012.34.53.901 E099.26.38.099 N012.27.18.199 E099.24.55.789
           N012.27.18.199 E099.24.55.789 N012.16.07.999 E099.29.28.387
           N012.16.07.999 E099.29.28.387 N012.07.56.899 E099.28.47.188
           N012.07.56.899 E099.28.47.188 N012.08.19.401 E099.34.50.314
           N012.08.19.401 E099.34.50.314 N012.00.37.601 E099.33.10.997
           N012.00.37.601 E099.33.10.997 N011.59.33.200 E099.35.45.905
           N011.59.33.200 E099.35.45.905 N011.52.12.501 E099.35.49.393
           N011.52.12.501 E099.35.49.393 N011.48.55.001 E099.40.07.407
           N011.48.55.001 E099.40.07.407 N011.37.31.500 E099.34.14.086
           N011.37.31.500 E099.34.14.086 N011.37.02.201 E099.28.43.590
           N011.37.02.201 E099.28.43.590 N011.31.33.401 E099.28.25.792
           N011.31.33.401 E099.28.25.792 N011.06.17.198 E099.14.07.101
           N011.06.17.198 E099.14.07.101 N010.57.23.301 E099.05.15.994
           N010.57.23.301 E099.05.15.994 N010.57.44.799 E099.01.23.908
           N010.57.44.799 E099.01.23.908 N010.49.53.599 E099.00.06.290
           N010.49.53.599 E099.00.06.290 N010.49.08.899 E098.55.18.091
           N010.49.08.899 E098.55.18.091 N010.40.39.799 E098.46.46.100
           N010.40.39.799 E098.46.46.100 N010.26.53.202 E098.48.05.092
           N010.26.53.202 E098.48.05.092 N010.10.39.301 E098.40.54.291
           N010.10.39.301 E098.40.54.291 N009.58.21.600 E098.33.17.809
           N009.58.21.600 E098.33.17.809 N010.00.00.000 E098.31.54.807
           N010.00.00.000 E098.31.54.807 N010.00.00.000 E094.24.59.991
           N010.00.00.000 E094.24.59.991 N013.30.00.000 E094.24.59.991
           N013.30.00.000 E094.24.59.991 N014.00.00.000 E092.00.00.000
           N014.00.00.000 E092.00.00.000 N021.00.00.000 E092.00.00.000
           N021.00.00.000 E092.00.00.000 N021.39.59.998 E092.20.59.995
           N021.39.59.998 E092.20.59.995 N022.08.59.999 E092.37.00.007
